x_m,y_m,well_type,well_id,perm_mD,porosity,x_ft,y_ft
292.6206325500722,702.1190607262803,producer,PROD_000,183.5628035518855,0.1567742675536157,960.0414760955788,2303.540299193209
1190.7397415030084,479.1503733247899,producer,PROD_001,451.42435146345184,0.1606233745987733,3906.62657351273,1572.0157108189037
1837.7162917536505,548.4459659374954,producer,PROD_002,63.2446841954924,0.1539763263257526,6029.253118637047,1799.3634628863724
2670.970500983074,234.48143676290823,producer,PROD_003,94.80220827222584,0.1548683212782289,8763.026858445308,769.2960769892198
3179.286009587374,284.44512212542656,producer,PROD_004,126.19865909341132,0.1556169088272245,10430.728711694639,933.2189344739845
3986.095774428653,188.3461117462932,producer,PROD_005,137.92750474787874,0.1558721270581425,13077.7424605765,617.9334572617086
4535.96010496097,332.0291674193381,producer,PROD_006,170.3922480001041,0.1565267190838909,14881.759350760149,1089.3345736360611
334.55027759733275,1430.6114422155754,producer,PROD_007,71.13213127552847,0.1542169933387286,1097.605932752433,4693.607244078548
916.9750879671564,1259.0151443286209,producer,PROD_008,184.49475481490475,0.1567914423139511,3008.4485476061654,4130.627246119113
1562.0265335352867,1534.294173593778,producer,PROD_009,117.79766436271694,0.1554267316213978,5124.75913228391,5033.77369649341
2739.467902724059,1445.3183204737588,producer,PROD_010,44.860685435120416,0.1533489059943181,8987.755873973201,4741.858158543127
3113.801367003448,995.1923388707098,producer,PROD_011,119.33961187242484,0.1554621335545834,10215.884076919592,3265.0668330605795
4023.319842206253,1212.0965793684145,producer,PROD_012,35.4403304697764,0.1529765890911316,13199.868671103963,3976.694941455069
4518.801133394295,1352.9307800908553,producer,PROD_013,40.45311776248211,0.1531801382738208,14825.463510485339,4438.749420553281
407.4914176742724,2350.5203488479738,producer,PROD_014,32.78671277887043,0.1528629841415414,1336.9141427624597,7711.681181314386
859.7961439124158,1890.789146198792,producer,PROD_015,121.4388362166297,0.1555099645238565,2820.85358079361,6203.376662414845
1954.7792904209923,1992.6104402392727,producer,PROD_016,36.82006062290012,0.1530339767889232,6413.318087184808,6537.436036754616
2281.1974738924537,2391.6950598469944,producer,PROD_017,60.75014008018746,0.1538971188101014,7484.243920245318,7846.7688201484125
3354.2973099239957,1892.5199316383091,producer,PROD_018,77.67570201555759,0.1544066909925577,11004.912786291043,6209.05509251623
4034.9552054073465,2228.3712064259585,producer,PROD_019,24.046154845331586,0.1524518439410641,13238.042436108639,7310.929388890541
4782.3676068670575,1813.561612764924,producer,PROD_020,57.50067215364656,0.1537914598822105,15690.182939313716,5950.0054816236725
543.8817618788767,2994.75548032412,producer,PROD_021,66.83205195527069,0.1540875436375429,1784.3890396426937,9825.313570066586
1189.5117488595758,3003.7863985249683,producer,PROD_022,42.80750056271453,0.1532713720578189,3902.5977261284506,9854.942567736656
1984.8522676106825,2899.069452602568,producer,PROD_023,35.61422109640534,0.1529838825838329,6511.982713667831,9511.38302287661
2634.118025002976,2955.475558460681,producer,PROD_024,27.73987772132577,0.1526334330123114,8642.119781150765,9696.44243122014
3353.640263976632,2912.737211030781,producer,PROD_025,56.45580158159984,0.1537568537894626,11002.757123665093,9556.224751438227
3940.262597967883,2870.7759782937483,producer,PROD_026,49.22023802922822,0.1535078568253717,12927.371141916949,9418.556660625261
